% time spent exploring,episodes,mean 100 episode reward,steps
90,10,-77.2,2827
84,20,-66.8,4801
75,30,-62.8,7499
66,40,-63.2,10194
54,50,-58.7,13902
44,60,-61.3,16675
34,70,-56.2,19900
27,80,-51.1,21949
20,90,-46.7,23982
8,100,-43.2,27603
2,110,-36.5,29437
1,120,-32.1,32540
1,130,-28.4,34350
1,140,-26.9,38544
1,150,-25.0,41952
1,160,-18.8,44645
1,170,-21.6,48499
1,180,-21.9,50549
1,190,-22.6,52246
1,200,-22.4,55775
1,210,-24.9,59552
1,220,-24.9,63248
1,230,-31.9,69085
1,240,-27.9,72671
1,250,-28.9,75516
1,260,-28.4,78325
1,270,-24.3,81756
1,280,-24.3,85719
1,290,-26.0,88484
1,300,-25.2,92382
1,310,-23.2,94350
1,320,-28.7,97374
