% time spent exploring,episodes,mean 100 episode reward,steps
91,10,-327.0,2612
84,20,-250.5,4646
78,30,-172.1,6381
74,40,-119.5,7869
68,50,-102.2,9482
63,60,-84.3,10911
57,70,-83.7,12739
53,80,-69.8,14108
47,90,-76.8,16006
42,100,-65.9,17318
37,110,-41.0,19036
30,120,-31.6,20985
24,130,-41.6,22992
18,140,-57.0,24823
13,150,-55.5,26344
6,160,-64.1,28231
2,170,-48.7,29534
1,180,-49.1,30834
1,190,-48.0,32436
1,200,-65.9,34696
1,210,-69.6,36552
1,220,-58.6,38114
1,230,-42.9,39314
1,240,-25.5,40485
1,250,-24.9,41989
1,260,-8.3,43116
1,270,-13.3,44506
1,280,-15.2,45847
1,290,-4.8,47149
1,300,9.4,48464
1,310,25.7,49660
1,320,25.8,50867
1,330,19.4,52109
1,340,14.3,53548
1,350,23.0,54714
1,360,18.4,55944
1,370,18.4,57179
1,380,18.5,58430
1,390,28.3,59630
1,400,38.9,60713
1,410,25.9,62058
1,420,24.7,63288
1,430,28.5,64531
1,440,26.8,65767
1,450,20.1,66931
1,460,15.9,68182
1,470,19.3,69307
1,480,23.2,70524
1,490,17.0,71754
1,500,12.1,72921
1,510,20.1,74138
1,520,23.3,75394
1,530,23.1,76584
1,540,28.1,77849
1,550,34.0,79000
1,560,37.9,80198
1,570,36.6,81379
1,580,26.2,82760
1,590,23.1,84068
1,600,27.0,85225
1,610,31.7,86360
1,620,29.2,87670
1,630,29.9,88935
1,640,32.2,90044
1,650,22.1,91477
1,660,25.3,92670
1,670,23.5,93870
1,680,34.9,95172
1,690,41.2,96417
1,700,29.1,97797
1,710,29.0,98974
