% time spent exploring,episodes,mean 100 episode reward,steps
88,10,-69.2,3468
82,20,-45.7,5363
74,30,-44.7,7773
67,40,-38.2,9909
61,50,-34.8,11751
54,60,-33.4,13920
44,70,-31.2,16834
38,80,-28.5,18590
32,90,-26.8,20570
26,100,-25.1,22231
17,110,-20.7,25046
10,120,-18.9,27206
3,130,-15.0,29106
1,140,-13.6,31542
1,150,-11.6,33441
1,160,-9.3,35818
1,170,-9.0,38317
1,180,-9.2,40570
1,190,-8.3,43714
1,200,-7.6,46767
1,210,-7.0,50831
1,220,-7.1,52718
1,230,-7.3,54731
1,240,-16.5,56612
1,250,-16.9,58624
1,260,-16.8,60601
1,270,-15.6,62348
1,280,-15.1,63921
1,290,-15.0,66246
1,300,-15.3,68906
1,310,-14.3,70407
1,320,-13.8,72628
1,330,-14.2,75014
1,340,-6.1,78798
1,350,-6.0,80589
1,360,-6.8,82051
1,370,-6.7,84356
1,380,-7.8,86155
1,390,-7.8,88913
1,400,-8.3,91388
1,410,-8.5,93047
1,420,-8.6,94920
1,430,-8.4,97550
