% time spent exploring,episodes,mean 100 episode reward,steps
94,10,-25.7,1623
88,20,-23.6,3430
72,30,-33.8,8356
57,40,-34.2,12752
52,50,-29.1,14449
44,60,-27.4,16861
35,70,-25.2,19547
23,80,-24.5,23155
18,90,-23.0,24842
10,100,-23.5,27195
1,110,-21.2,29862
1,120,-19.4,32573
1,130,-15.2,34415
1,140,-12.6,39932
1,150,-11.9,41973
1,160,-10.8,45650
1,170,-9.6,47849
1,180,-8.1,50291
1,190,-7.2,54874
1,200,-4.8,57361
1,210,-5.2,60503
1,220,-5.1,62655
1,230,-5.7,64527
1,240,-5.1,65923
1,250,-7.5,69661
1,260,-6.9,71380
1,270,-8.3,73236
1,280,-9.1,74998
1,290,-10.0,77667
1,300,-9.9,79788
1,310,-9.6,81844
1,320,-11.8,84579
1,330,-11.2,87218
1,340,-11.2,90075
1,350,-8.8,92139
1,360,-10.2,93882
1,370,-9.4,97198
1,380,-8.3,99888
