% time spent exploring,episodes,mean 100 episode reward,steps
92,10,-120.0,2415
84,20,-81.1,4711
78,30,-68.0,6364
72,40,-66.5,8225
68,50,-55.7,9652
61,60,-53.3,11764
56,70,-46.6,13220
51,80,-42.7,14571
46,90,-39.8,16185
41,100,-37.1,17694
36,110,-27.3,19256
31,120,-23.2,20676
26,130,-21.2,22146
22,140,-13.7,23426
17,150,-14.3,25009
13,160,-8.9,26215
8,170,-10.0,27826
4,180,-8.0,29052
1,190,-6.5,30354
1,200,-5.4,31679
1,210,-2.7,32841
1,220,-3.7,34403
1,230,-1.0,35803
1,240,-3.3,37110
1,250,0.3,38276
1,260,-0.1,39553
1,270,1.5,40847
1,280,0.8,42149
1,290,-3.2,43833
1,300,-3.5,45181
1,310,-5.1,46397
1,320,-3.7,47632
1,330,-5.1,48861
1,340,-2.7,50103
1,350,-4.5,51501
1,360,-5.6,52796
1,370,-6.5,54191
1,380,-6.8,55501
1,390,-3.3,56844
1,400,-1.9,58022
1,410,0.0,59271
1,420,-4.0,60634
1,430,-7.8,62037
1,440,-8.7,63355
1,450,-6.7,64483
1,460,-5.0,65695
1,470,-5.0,66961
1,480,-3.1,68144
1,490,-2.6,69473
1,500,-2.6,70779
1,510,-6.3,72610
1,520,-1.6,73926
1,530,3.7,75183
1,540,4.2,76377
1,550,2.0,77695
1,560,1.5,78924
1,570,3.0,80246
1,580,2.6,81443
1,590,2.2,82748
1,600,2.7,83894
1,610,4.8,85318
1,620,4.5,86719
1,630,1.4,88144
1,640,-3.2,89891
1,650,-3.4,91223
1,660,-4.3,92558
1,670,-3.3,93711
1,680,-4.5,94959
1,690,-3.0,96184
1,700,-5.2,97450
1,710,-6.3,98746
