% time spent exploring,episodes,mean 100 episode reward,steps
91,10,-64.5,2441
84,20,-54.7,4707
76,30,-48.6,7047
71,40,-41.2,8726
65,50,-37.1,10425
59,60,-34.8,12198
54,70,-31.2,13672
50,80,-28.5,15027
45,90,-27.2,16498
39,100,-26.0,18310
34,110,-21.2,19928
30,120,-16.7,21119
25,130,-13.9,22515
20,140,-13.7,24200
14,150,-13.5,25899
7,160,-13.7,27936
2,170,-13.9,29689
1,180,-13.7,31210
1,190,-13.5,32691
1,200,-12.6,34203
1,210,-13.2,36201
1,220,-13.8,37468
1,230,-13.2,38782
1,240,-12.3,40178
1,250,-10.1,41326
1,260,-8.8,42662
1,270,-8.0,43976
1,280,-7.6,45226
1,290,-5.9,46425
1,300,-6.1,47736
1,310,-4.1,48970
1,320,-3.9,50336
1,330,-4.2,51679
1,340,-4.1,53082
1,350,-6.3,54588
1,360,-7.6,56020
1,370,-7.3,57352
1,380,-7.8,58879
1,390,-8.5,60143
1,400,-8.3,61364
1,410,-8.6,62572
1,420,-8.2,63773
1,430,-8.1,64983
1,440,-8.1,66285
1,450,-5.9,67487
1,460,-3.9,68810
1,470,-4.8,70233
1,480,-3.7,71458
1,490,-5.5,72905
1,500,-5.6,74248
1,510,-5.0,75476
1,520,-6.7,77298
1,530,-6.9,78593
1,540,-6.4,79846
1,550,-6.7,81096
1,560,-6.6,82364
1,570,-5.8,83616
1,580,-6.2,84823
1,590,-4.6,86195
1,600,-4.3,87559
1,610,-5.3,88826
1,620,-4.2,90074
1,630,-3.9,91417
1,640,-3.7,92841
1,650,-4.0,94136
1,660,-4.1,95366
1,670,-3.5,96572
1,680,-3.5,97812
1,690,-3.2,99174
